session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
566cac87,13:57:48,5min_no_music,5,no,,1698869,123832,26982,35748,5113,10104,2117,3100,51,57
566cac87,13:57:49,5min_no_music,5,no,,312551,642096,213742,53955,50344,55626,7277,8971,60,56
566cac87,13:57:50,5min_no_music,5,no,,370805,104507,19618,11199,2634,1729,551,518,60,56
566cac87,13:57:51,5min_no_music,5,no,,1201544,883524,301521,92375,83652,74995,13156,3750,64,69
566cac87,13:57:52,5min_no_music,5,no,,1496292,166685,8120,30747,8022,8970,1680,1250,63,47
566cac87,13:57:53,5min_no_music,5,no,,537844,189598,57666,14271,6719,4682,3738,415,54,44
566cac87,13:57:54,5min_no_music,5,no,,1844195,1445214,210716,191016,47626,37688,6027,1950,47,40
566cac87,13:57:55,5min_no_music,5,no,,240312,176749,35881,20603,15102,11612,5714,2751,44,37
566cac87,13:57:56,5min_no_music,5,no,,574683,144181,25447,22147,20307,7778,1718,899,44,40
566cac87,13:57:57,5min_no_music,5,no,,287924,51784,27795,10604,1689,3304,547,215,50,48
566cac87,13:57:58,5min_no_music,5,no,,1156808,103332,15161,22597,11622,21444,2382,2632,64,48
566cac87,13:57:59,5min_no_music,5,no,,38050,68252,5810,11163,1488,7656,1373,166,69,44
566cac87,13:58:00,5min_no_music,5,no,,348467,35973,42663,7243,3602,1634,690,286,63,63
566cac87,13:58:01,5min_no_music,5,no,,86610,27967,5495,9855,1507,3153,1513,258,69,57
566cac87,13:58:02,5min_no_music,5,no,,966970,571420,260615,58801,42631,81300,26662,7456,64,64
566cac87,13:58:03,5min_no_music,5,no,,329511,143141,118956,11045,21560,9316,3497,698,64,64
566cac87,13:58:04,5min_no_music,5,no,,348679,972734,135681,743699,36723,114425,38934,31384,64,64
566cac87,13:58:05,5min_no_music,5,no,,192772,156212,67183,6807,13131,15407,5666,4279,64,64
566cac87,13:58:06,5min_no_music,5,no,,3283905,186867,354644,52387,62322,45457,34722,37041,64,88
566cac87,13:58:07,5min_no_music,5,no,,641676,93882,9433,6123,4701,6246,2040,5560,74,63
566cac87,13:58:08,5min_no_music,5,no,,81100,62101,77749,8378,5519,4479,834,2618,64,75
566cac87,13:58:09,5min_no_music,5,no,,478328,387425,274262,37902,104965,10351,5444,7650,51,78
566cac87,13:58:10,5min_no_music,5,no,,448960,329014,12435,74390,120302,32374,28320,32483,51,78
566cac87,13:58:11,5min_no_music,5,no,,249778,175672,237266,21490,25113,8370,1730,3424,51,78
566cac87,13:58:12,5min_no_music,5,no,,173885,95533,20591,20466,23555,9985,4407,2505,51,78
566cac87,13:58:13,5min_no_music,5,no,,551943,93348,44154,11073,12158,4054,1536,3291,51,78
566cac87,13:58:14,5min_no_music,5,no,,498202,702096,333817,54980,14994,84874,6998,5398,51,63
566cac87,13:58:15,5min_no_music,5,no,,173491,23857,19373,11688,5038,4058,1357,1058,53,84
566cac87,13:58:16,5min_no_music,5,no,,656802,210436,16113,32307,12452,6787,2138,1476,53,61
566cac87,13:58:17,5min_no_music,5,no,,1406998,1005226,240887,128408,71957,37645,9997,8945,57,54
566cac87,13:58:18,5min_no_music,5,no,,235524,77155,55695,48716,11707,7214,2054,2451,53,66
566cac87,13:58:19,5min_no_music,5,no,,893554,222129,29219,58915,24790,22774,5023,5306,53,51
566cac87,13:58:20,5min_no_music,5,no,,207850,32147,12324,4531,5737,4870,1856,1227,53,51
566cac87,13:58:21,5min_no_music,5,no,,377689,130167,113023,33322,17369,19842,2594,2334,60,69
566cac87,13:58:22,5min_no_music,5,no,,182900,43992,14834,10716,1144,2893,447,424,60,69
566cac87,13:58:23,5min_no_music,5,no,,1727486,1051393,89949,151222,33075,52333,13874,3072,63,64
566cac87,13:58:24,5min_no_music,5,no,,809504,50981,7305,3652,1598,1505,643,313,57,43
566cac87,13:58:25,5min_no_music,5,no,,364928,132473,61501,17783,8482,8547,1754,634,54,50
566cac87,13:58:26,5min_no_music,5,no,,121856,14602,17481,5376,1632,1644,413,220,50,54
566cac87,13:58:27,5min_no_music,5,no,,504665,113745,77002,14454,14415,3801,1042,916,43,69
566cac87,13:58:28,5min_no_music,5,no,,1076912,644208,122885,39672,51877,18819,5406,6667,44,70
566cac87,13:58:29,5min_no_music,5,no,,169272,259404,59192,11349,4848,3877,1266,1293,35,63
566cac87,13:58:30,5min_no_music,5,no,,1668060,378730,432490,85031,41432,26836,7367,2474,30,61
566cac87,13:58:31,5min_no_music,5,no,,907417,219295,9499,9061,12739,9591,2773,2162,38,35
566cac87,13:58:32,5min_no_music,5,no,,1556196,635253,80830,36881,81710,41149,12181,4322,44,30
566cac87,13:58:33,5min_no_music,5,no,,787512,141217,77012,26573,9511,15689,2140,1520,60,41
566cac87,13:58:34,5min_no_music,5,no,,649676,99475,48544,15487,5873,9859,2355,1028,64,30
566cac87,13:58:35,5min_no_music,5,no,,273042,29391,14762,6143,2789,2585,338,227,66,56
566cac87,13:58:36,5min_no_music,5,no,,197112,63019,7852,6115,3065,1637,263,303,57,60
566cac87,13:58:37,5min_no_music,5,no,,241607,121648,122750,95716,8114,10490,1955,657,51,70
566cac87,13:58:38,5min_no_music,5,no,,1064146,236638,58638,16587,7953,4051,726,550,40,63
566cac87,13:58:39,5min_no_music,5,no,,287659,133473,25465,20577,9429,11740,3820,691,41,54
566cac87,13:58:40,5min_no_music,5,no,,129707,75697,23411,8679,2088,2880,698,197,43,64
566cac87,13:58:41,5min_no_music,5,no,,701863,124247,68249,8317,5064,13861,1536,588,50,51
566cac87,13:58:42,5min_no_music,5,no,,441322,139687,45599,21745,10204,8701,2567,1224,60,56
566cac87,13:58:43,5min_no_music,5,no,,665590,146123,37228,31559,28975,5143,1135,1308,51,60
566cac87,13:58:44,5min_no_music,5,no,,91257,27012,19109,6612,4558,1712,283,340,54,66
566cac87,13:58:45,5min_no_music,5,no,,206823,25841,64187,42405,5843,20811,1999,1185,61,83
566cac87,13:58:46,5min_no_music,5,no,,908119,297940,31951,47542,9894,19106,1897,755,64,75
566cac87,13:58:47,5min_no_music,5,no,,671951,155792,91683,12008,12316,10907,2484,1743,67,78
566cac87,13:58:48,5min_no_music,5,no,,1410584,182651,22490,52534,8154,4765,864,1060,63,69
566cac87,13:58:49,5min_no_music,5,no,,122821,39032,7095,5782,2118,3077,828,278,56,47
566cac87,13:58:50,5min_no_music,5,no,,2174095,539387,102155,77338,42698,21545,10088,4142,51,48
566cac87,13:58:51,5min_no_music,5,no,,2071930,683122,115682,35992,34206,38471,9372,4985,53,35
566cac87,13:58:52,5min_no_music,5,no,,2256125,483400,40057,155557,43847,16229,11706,2617,54,30
566cac87,13:58:53,5min_no_music,5,no,,815366,80755,25064,25772,7302,5813,2694,1162,51,40
566cac87,13:58:54,5min_no_music,5,no,,1054632,571010,802037,78596,42873,29135,6466,3592,48,60
566cac87,13:58:55,5min_no_music,5,no,,1293215,359910,80645,140761,67324,20226,4875,4640,44,69
566cac87,13:58:56,5min_no_music,5,no,,394122,123827,24252,37471,7645,10925,2086,994,51,74
566cac87,13:58:57,5min_no_music,5,no,,981200,100189,51518,17051,20112,3569,1796,1297,44,74
566cac87,13:58:58,5min_no_music,5,no,,2687289,351839,178249,55004,36122,16057,5254,2307,48,63
566cac87,13:58:59,5min_no_music,5,no,,806457,1567813,148126,72741,15454,45102,7018,3425,44,48
566cac87,13:59:00,5min_no_music,5,no,,2699011,431847,189697,94182,13495,61885,11490,3240,48,50
566cac87,13:59:01,5min_no_music,5,no,,667468,218664,35519,42595,4489,7631,1579,1252,50,43
566cac87,13:59:02,5min_no_music,5,no,,1474861,306116,103977,121257,67405,25919,6626,3269,54,43
566cac87,13:59:03,5min_no_music,5,no,,1429667,200046,71735,22775,29036,3648,1321,784,48,54
566cac87,13:59:04,5min_no_music,5,no,,1407483,1273312,142059,105351,14472,28534,10471,2439,35,43
566cac87,13:59:05,5min_no_music,5,no,,632773,133029,144276,169286,35844,34548,15089,2300,44,61
566cac87,13:59:06,5min_no_music,5,no,,132796,112319,89318,14702,23094,21597,4483,1590,51,63
566cac87,13:59:07,5min_no_music,5,no,,189245,102385,85046,10912,13529,18224,6090,2266,66,69
566cac87,13:59:08,5min_no_music,5,no,,1166668,592506,255223,106632,123383,17244,7715,2382,66,81
566cac87,13:59:09,5min_no_music,5,no,,514185,82711,29252,8941,14574,9440,2617,1379,66,63
566cac87,13:59:10,5min_no_music,5,no,,235539,253812,29909,104945,8000,5378,1216,1065,51,60
566cac87,13:59:11,5min_no_music,5,no,,577567,87028,17423,7570,2297,3911,431,180,43,50
566cac87,13:59:12,5min_no_music,5,no,,1449359,218208,51124,10617,9780,5255,3097,1248,43,43
566cac87,13:59:13,5min_no_music,5,no,,3010798,916639,388917,273584,30313,45910,12909,5840,35,50
566cac87,13:59:14,5min_no_music,5,no,,290779,724054,340792,63439,35771,55710,10058,7223,44,50
566cac87,13:59:15,5min_no_music,5,no,,696418,138372,85270,23552,12432,12724,2342,1346,47,61
566cac87,13:59:16,5min_no_music,5,no,,344938,37570,36195,3456,2486,5188,1544,461,57,75
566cac87,13:59:17,5min_no_music,5,no,,53537,10405,2219,1532,1328,920,236,231,57,75
566cac87,13:59:18,5min_no_music,5,no,,563729,101180,39633,49754,19410,18737,3292,1708,67,74
566cac87,13:59:19,5min_no_music,5,no,,502761,170044,78395,25131,24623,11337,2874,809,67,74
