session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
7bda8daa,13:56:44,Oshika_no_music,5,no,,817530,34960,9183,8603,16371,6775,2108,411,0,0
7bda8daa,13:56:45,Oshika_no_music,5,no,,2137821,105055,6554,24795,94750,72392,20236,8120,0,0
7bda8daa,13:56:46,Oshika_no_music,5,no,,1130698,17179,3062,6238,3605,3152,469,318,0,0
7bda8daa,13:56:47,Oshika_no_music,5,no,,588205,90781,16706,17597,11496,15486,1529,1837,0,0
7bda8daa,13:56:48,Oshika_no_music,5,no,,133973,14783,1588,7944,8839,2506,659,516,34,87
7bda8daa,13:56:49,Oshika_no_music,5,no,,1139676,188465,113471,149307,43350,119553,19322,15943,34,87
7bda8daa,13:56:50,Oshika_no_music,5,no,,409928,22519,3069,31462,20153,16089,3495,4249,54,94
7bda8daa,13:56:51,Oshika_no_music,5,no,,278524,19580,15117,13363,18201,6896,819,408,54,94
7bda8daa,13:56:52,Oshika_no_music,5,no,,1066320,57984,37696,25100,15005,14343,4308,902,54,94
7bda8daa,13:56:53,Oshika_no_music,5,no,,728740,299573,21010,24519,70615,20065,8157,6982,50,74
7bda8daa,13:56:54,Oshika_no_music,5,no,,146948,26712,4730,5922,8704,3967,4764,1579,34,69
7bda8daa,13:56:55,Oshika_no_music,5,no,,474728,323691,40096,53355,61751,10777,7707,4208,23,44
7bda8daa,13:56:56,Oshika_no_music,5,no,,873917,182874,7851,20532,15474,14905,7185,3060,1,3
7bda8daa,13:56:57,Oshika_no_music,5,no,,531167,25837,1358,3423,1752,1117,405,115,4,10
7bda8daa,13:56:58,Oshika_no_music,5,no,,181308,17555,20313,14369,11472,9617,3636,1325,23,29
7bda8daa,13:56:59,Oshika_no_music,5,no,,971059,110881,20515,35353,23570,13981,10311,3471,43,37
7bda8daa,13:57:00,Oshika_no_music,5,no,,1525962,19407,21839,37983,24382,11602,1667,1373,54,78
7bda8daa,13:57:01,Oshika_no_music,5,no,,143153,33008,6136,5724,4192,3234,918,379,66,88
7bda8daa,13:57:02,Oshika_no_music,5,no,,138112,8596,5121,3919,1231,2077,167,375,57,83
7bda8daa,13:57:03,Oshika_no_music,5,no,,1185311,73998,61814,32499,16082,58665,9688,2280,81,91
7bda8daa,13:57:04,Oshika_no_music,5,no,,273675,21620,5487,4465,3403,2665,454,524,69,70
7bda8daa,13:57:05,Oshika_no_music,5,no,,726237,280353,20114,18859,39268,9760,3896,3061,54,54
7bda8daa,13:57:06,Oshika_no_music,5,no,,925687,81157,16725,7915,9385,2964,1896,941,29,34
7bda8daa,13:57:07,Oshika_no_music,5,no,,184819,277518,10959,22541,9613,8134,4428,6131,1,3
7bda8daa,13:57:08,Oshika_no_music,5,no,,167633,254793,29990,9109,30900,9550,6504,4189,1,1
7bda8daa,13:57:09,Oshika_no_music,5,no,,675177,138101,54364,59765,39091,16526,13429,7542,1,13
7bda8daa,13:57:10,Oshika_no_music,5,no,,475823,191699,34772,36890,44853,21036,2947,8335,1,13
7bda8daa,13:57:11,Oshika_no_music,5,no,,459907,136567,33879,91157,5134,12257,5919,3784,10,50
7bda8daa,13:57:12,Oshika_no_music,5,no,,33938,45974,15842,47082,24826,6022,7099,4060,16,84
7bda8daa,13:57:13,Oshika_no_music,5,no,,45461,13590,1527,9658,2019,2432,781,761,23,84
7bda8daa,13:57:14,Oshika_no_music,5,no,,117873,115870,65804,38238,7602,5518,7615,2676,7,100
7bda8daa,13:57:15,Oshika_no_music,5,no,,250386,117883,29140,4565,20918,11121,4082,7982,14,80
7bda8daa,13:57:16,Oshika_no_music,5,no,,93937,101466,5144,27554,10242,5765,3817,1843,11,60
7bda8daa,13:57:17,Oshika_no_music,5,no,,58036,26620,6819,10221,4667,1309,1051,484,1,57
7bda8daa,13:57:18,Oshika_no_music,5,no,,224948,50542,19804,7169,26721,4003,3809,7780,8,43
7bda8daa,13:57:19,Oshika_no_music,5,no,,347790,272772,3884,16974,16560,6297,2723,2409,1,30
7bda8daa,13:57:20,Oshika_no_music,5,no,,1189694,23271,1633,9832,9890,7298,2169,1403,1,30
7bda8daa,13:57:21,Oshika_no_music,5,no,,532586,25214,3850,5742,1944,900,1378,196,1,30
7bda8daa,13:57:22,Oshika_no_music,5,no,,869753,40344,10587,6065,4469,1513,934,762,1,41
7bda8daa,13:57:23,Oshika_no_music,5,no,,257877,75974,11400,43486,33678,19719,9818,4550,10,40
7bda8daa,13:57:24,Oshika_no_music,5,no,,1402817,88111,15784,37000,23854,7919,5592,3068,10,40
7bda8daa,13:57:25,Oshika_no_music,5,no,,678911,33294,13152,7010,3416,2201,935,611,10,40
7bda8daa,13:57:26,Oshika_no_music,5,no,,765337,66800,22121,21890,11435,13860,2027,1084,23,47
7bda8daa,13:57:27,Oshika_no_music,5,no,,576727,27708,14613,4433,5164,1682,1125,245,23,47
7bda8daa,13:57:28,Oshika_no_music,5,no,,2269740,14888,14426,15914,35928,25730,7793,2844,23,47
7bda8daa,13:57:29,Oshika_no_music,5,no,,691202,63856,703,1479,5162,5640,1289,233,23,47
7bda8daa,13:57:30,Oshika_no_music,5,no,,1061012,164423,14192,25435,60430,38705,3282,3722,23,47
7bda8daa,13:57:31,Oshika_no_music,5,no,,1350521,197918,6785,5898,23508,14193,4461,4890,23,47
7bda8daa,13:57:32,Oshika_no_music,5,no,,666715,30004,31247,12094,27428,13811,8061,1416,23,47
7bda8daa,13:57:33,Oshika_no_music,5,no,,563684,80505,86844,52676,64202,80861,108594,65334,23,47
7bda8daa,13:57:34,Oshika_no_music,5,no,,623580,260548,146488,105248,54396,20009,13759,9485,23,47
7bda8daa,13:57:35,Oshika_no_music,5,no,,783648,169617,87681,72710,47895,42830,14331,3135,23,47
7bda8daa,13:57:36,Oshika_no_music,5,no,,348727,9639,5968,3981,1762,560,275,155,23,47
7bda8daa,13:57:37,Oshika_no_music,5,no,,521025,80553,8849,18876,1286,3176,2963,570,23,47
7bda8daa,13:57:38,Oshika_no_music,5,no,,249101,14422,5570,3105,1533,952,449,179,23,47
7bda8daa,13:57:39,Oshika_no_music,5,no,,841332,11695,8577,6887,2379,1820,448,197,40,87
7bda8daa,13:57:40,Oshika_no_music,5,no,,1063966,183322,17264,18535,9255,11322,2740,1808,50,75
7bda8daa,13:57:41,Oshika_no_music,5,no,,1441689,48609,8705,9064,4578,3013,1532,636,50,75
7bda8daa,13:57:42,Oshika_no_music,5,no,,550744,336596,109317,179797,167985,128413,81781,44554,50,75
7bda8daa,13:57:43,Oshika_no_music,5,no,,782209,640640,303696,186133,224468,146060,38175,28997,50,75
7bda8daa,13:57:44,Oshika_no_music,5,no,,349073,201493,23354,35663,11051,9131,3570,1359,50,75
7bda8daa,13:57:45,Oshika_no_music,5,no,,276980,208661,4034,5057,18874,3825,1847,892,21,48
7bda8daa,13:57:46,Oshika_no_music,5,no,,1845026,56235,9939,73066,7028,62636,33846,26291,21,48
7bda8daa,13:57:47,Oshika_no_music,5,no,,824684,202678,82384,130844,152858,253765,163837,66704,21,48
7bda8daa,13:57:48,Oshika_no_music,5,no,,888046,34302,31071,48119,17658,39857,3176,2878,21,48
7bda8daa,13:57:49,Oshika_no_music,5,no,,1580687,48340,20809,57871,36284,27645,3855,1052,21,48
7bda8daa,13:57:50,Oshika_no_music,5,no,,1361200,61293,6087,17264,4429,8125,1859,1178,20,47
7bda8daa,13:57:51,Oshika_no_music,5,no,,2200589,36842,1892,14500,9348,6422,2572,956,20,47
7bda8daa,13:57:52,Oshika_no_music,5,no,,2532260,2188876,213036,138920,418166,84203,35359,7687,13,21
7bda8daa,13:57:53,Oshika_no_music,5,no,,2229495,127487,39158,105290,46652,23264,20139,4277,21,44
7bda8daa,13:57:54,Oshika_no_music,5,no,,1041716,313380,27563,19726,25100,32940,9360,1948,44,60
7bda8daa,13:57:55,Oshika_no_music,5,no,,515646,28762,12517,7085,10830,8814,1231,631,54,63
7bda8daa,13:57:56,Oshika_no_music,5,no,,1182030,90091,19537,36548,30708,6653,3871,2706,60,78
7bda8daa,13:57:57,Oshika_no_music,5,no,,2548864,20984,7178,23362,7088,5834,1826,864,60,78
7bda8daa,13:57:58,Oshika_no_music,5,no,,257425,11775,5344,5688,5063,2919,688,809,64,75
7bda8daa,13:57:59,Oshika_no_music,5,no,,2771615,137064,20781,26133,10475,7057,8612,3023,51,87
7bda8daa,13:58:00,Oshika_no_music,5,no,,53931,12583,3894,2065,606,665,570,208,27,87
7bda8daa,13:58:01,Oshika_no_music,5,no,,1524781,71535,41149,11707,5473,12761,1917,2550,38,91
7bda8daa,13:58:02,Oshika_no_music,5,no,,655139,31309,3478,7006,5138,6126,1495,718,40,81
7bda8daa,13:58:03,Oshika_no_music,5,no,,1361832,50836,19285,9659,12824,4689,1450,1326,47,84
7bda8daa,13:58:04,Oshika_no_music,5,no,,435302,27202,15313,11390,6746,6158,1256,660,64,91
7bda8daa,13:58:05,Oshika_no_music,5,no,,606390,108187,10984,38258,95530,54192,4975,3046,81,78
7bda8daa,13:58:06,Oshika_no_music,5,no,,1254143,1135714,106361,102186,111182,221031,69357,11063,84,69
7bda8daa,13:58:07,Oshika_no_music,5,no,,1219543,23285,33126,25545,20509,12572,4789,1773,96,81
7bda8daa,13:58:08,Oshika_no_music,5,no,,2275399,273623,30405,114156,54749,46013,3698,3887,96,75
7bda8daa,13:58:09,Oshika_no_music,5,no,,804716,85726,4745,24405,7881,22396,2636,604,96,75
7bda8daa,13:58:10,Oshika_no_music,5,no,,111428,24074,955,2271,1159,839,235,102,63,67
7bda8daa,13:58:11,Oshika_no_music,5,no,,879784,69379,9801,4268,2709,2346,1727,1249,38,70
7bda8daa,13:58:12,Oshika_no_music,5,no,,353096,50517,19980,28918,29197,10160,2464,3446,30,63
7bda8daa,13:58:13,Oshika_no_music,5,no,,333967,38947,30832,11090,32359,13401,4783,5389,38,66
7bda8daa,13:58:14,Oshika_no_music,5,no,,68584,25004,17588,42717,15857,6538,4347,6908,51,93
7bda8daa,13:58:15,Oshika_no_music,5,no,,144260,67174,9606,35391,6566,4763,5875,5051,56,100
7bda8daa,13:58:16,Oshika_no_music,5,no,,62867,29665,32821,24597,4663,11462,5913,4216,61,100
7bda8daa,13:58:17,Oshika_no_music,5,no,,953822,49411,36756,16354,36456,20403,3396,1810,63,100
7bda8daa,13:58:18,Oshika_no_music,5,no,,1008688,108194,17701,19082,19538,5161,3095,786,63,100
7bda8daa,13:58:19,Oshika_no_music,5,no,,1498588,85080,10550,13971,14712,8346,5395,989,63,100
7bda8daa,13:58:20,Oshika_no_music,5,no,,910669,117591,4418,12696,13380,3287,565,339,63,100
7bda8daa,13:58:21,Oshika_no_music,5,no,,459359,19337,6293,2917,3397,3401,628,473,63,100
7bda8daa,13:58:22,Oshika_no_music,5,no,,889198,161493,3995,10116,7081,18505,2210,644,69,80
7bda8daa,13:58:23,Oshika_no_music,5,no,,1819239,114732,61722,22918,44385,16582,4474,3495,69,80
7bda8daa,13:58:24,Oshika_no_music,5,no,,891274,55220,20400,22569,40696,19684,4226,935,91,75
7bda8daa,13:58:25,Oshika_no_music,5,no,,699411,62517,88492,140972,20085,126195,16971,4853,100,75
7bda8daa,13:58:26,Oshika_no_music,5,no,,2026518,24893,3899,38149,11439,24066,1578,1859,100,75
7bda8daa,13:58:27,Oshika_no_music,5,no,,389207,42357,36458,19288,12011,7736,2004,711,90,80
7bda8daa,13:58:28,Oshika_no_music,5,no,,1045318,70733,34151,36587,12048,8402,3139,1732,80,100
7bda8daa,13:58:29,Oshika_no_music,5,no,,790494,97868,5747,11893,16634,4135,2468,1002,54,97
