session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
85737dd4,14:19:16,anything,30,no,,903551,102105,38541,13398,10592,38067,36706,34752,0,0
85737dd4,14:19:17,anything,30,no,,488859,443079,96228,36865,42183,74740,80328,22899,0,0
85737dd4,14:19:18,anything,30,no,,1639380,92432,12073,23586,12929,16450,5787,2685,0,0
85737dd4,14:19:19,anything,30,no,,451254,563229,530624,199893,266071,171241,39359,60636,0,0
85737dd4,14:19:20,anything,30,no,,796842,129344,17210,49638,62961,156696,47343,60762,0,0
85737dd4,14:19:21,anything,30,no,,1047761,707388,192173,456442,161467,205406,168784,307198,0,0
85737dd4,14:19:22,anything,30,no,,498079,157345,48857,29883,39947,116309,82539,90244,0,0
85737dd4,14:19:23,anything,30,no,,192453,96359,448167,242984,254426,288899,72677,118365,0,0
85737dd4,14:19:24,anything,30,no,,1561332,315510,241281,190572,226917,184110,113826,30027,0,0
85737dd4,14:19:25,anything,30,no,,1131982,1152522,367069,258436,1199744,219573,817740,316785,0,0
85737dd4,14:19:26,anything,30,no,,1078334,99334,12853,49350,39610,91782,52977,32354,0,0
85737dd4,14:19:27,anything,30,no,,834270,358785,29745,15594,20250,25099,16649,16630,0,0
85737dd4,14:19:28,anything,30,no,,2174785,118313,16873,8126,5192,33468,17739,19896,0,0
85737dd4,14:19:29,anything,30,no,,384234,29550,6653,4367,17584,16328,14811,13035,0,0
85737dd4,14:19:30,anything,30,no,,41149,15046,7293,10243,17907,22371,19146,17824,0,0
85737dd4,14:19:31,anything,30,no,,2622182,501169,131804,217158,729431,254749,156092,52882,0,0
85737dd4,14:19:32,anything,30,no,,1349052,140344,144610,29223,279193,80566,44404,69580,0,0
85737dd4,14:19:33,anything,30,no,,763162,169463,67564,23035,46413,93647,98222,40354,0,0
85737dd4,14:19:34,anything,30,no,,1165075,94807,113041,112796,88656,95852,58546,61689,0,0
85737dd4,14:19:35,anything,30,no,,646273,33610,24337,20948,12406,4750,9606,9298,0,0
85737dd4,14:19:36,anything,30,no,,1060577,178211,30338,61577,42790,64748,54187,41941,0,0
85737dd4,14:19:37,anything,30,no,,615054,9266,3463,12561,17750,16652,3989,14660,0,0
85737dd4,14:19:38,anything,30,no,,323832,179281,25983,19167,55883,73632,64767,34553,0,0
85737dd4,14:19:39,anything,30,no,,959689,55558,4704,21063,56725,29910,30706,18341,0,0
85737dd4,14:19:40,anything,30,no,,632103,17123,4874,3088,13952,29433,27623,11275,0,0
85737dd4,14:19:41,anything,30,no,,1003004,150121,86458,71897,81402,65666,83372,34308,0,0
85737dd4,14:19:42,anything,30,no,,2064848,219043,79214,338235,133435,72054,100483,71649,0,0
85737dd4,14:19:43,anything,30,no,,897612,233230,32362,95028,127184,69135,73151,81957,0,0
85737dd4,14:19:44,anything,30,no,,928001,66867,59847,42243,49028,14247,13283,5863,0,0
85737dd4,14:19:45,anything,30,no,,964080,248185,67385,19288,28025,122339,55089,22794,0,0
85737dd4,14:19:46,anything,30,no,,532039,690529,570810,284054,22718,54569,102736,74649,0,0
85737dd4,14:19:47,anything,30,no,,400033,80001,10963,26906,38243,96761,55985,42692,0,0
85737dd4,14:19:48,anything,30,no,,89514,13114,4644,2694,2520,3128,3393,3282,0,0
85737dd4,14:19:49,anything,30,no,,537705,315883,50377,33524,46961,47902,8544,20715,0,0
85737dd4,14:19:50,anything,30,no,,1185032,166936,112397,123913,24909,186044,201232,102598,0,0
85737dd4,14:19:51,anything,30,no,,860762,130252,141861,116523,16362,27811,24820,10621,0,0
85737dd4,14:19:52,anything,30,no,,572401,68496,100147,152189,253252,313179,84717,27669,0,0
85737dd4,14:19:53,anything,30,no,,1024263,53362,58533,18601,138395,110474,43837,16310,0,0
85737dd4,14:19:54,anything,30,no,,79943,14304,2468,5810,8782,19187,4579,4399,0,0
85737dd4,14:19:55,anything,30,no,,1172909,567717,56219,123679,120228,32746,8856,9579,0,0
85737dd4,14:19:56,anything,30,no,,1568141,341629,103017,152428,349741,105957,63031,52172,0,0
85737dd4,14:19:57,anything,30,no,,476034,47381,882,6627,5445,11142,10552,11165,0,0
85737dd4,14:19:58,anything,30,no,,550626,47821,308,14935,10340,13774,25856,31924,0,0
85737dd4,14:19:59,anything,30,no,,1117822,199945,477904,471890,421462,179557,123592,58653,0,0
85737dd4,14:20:00,anything,30,no,,254658,871242,2052,19376,46392,50223,31688,14595,0,0
85737dd4,14:20:01,anything,30,no,,569140,132148,79980,57223,78190,71966,17246,25419,0,0
85737dd4,14:20:02,anything,30,no,,317830,21143,12756,5848,6514,7140,1507,1036,0,0
85737dd4,14:20:03,anything,30,no,,760810,257629,9554,33996,67407,85773,53993,19476,0,0
85737dd4,14:20:04,anything,30,no,,366485,1356591,191367,119618,233649,185587,93595,24080,0,0
85737dd4,14:20:05,anything,30,no,,269605,63686,9484,7357,5140,28238,12528,4560,0,0
85737dd4,14:20:06,anything,30,no,,1892430,415734,268234,334107,209765,133457,38867,37006,0,0
85737dd4,14:20:07,anything,30,no,,792329,381717,95973,110882,147328,233196,172898,12029,0,0
85737dd4,14:20:08,anything,30,no,,2658815,415385,136145,11319,24326,41049,35422,5534,0,0
85737dd4,14:20:09,anything,30,no,,2243709,453927,216974,119925,294552,279892,66292,43371,0,0
85737dd4,14:20:10,anything,30,no,,23402,152630,65499,21352,6972,19386,28657,18217,0,0
85737dd4,14:20:11,anything,30,no,,734392,163930,146923,66188,141744,124736,73324,43914,0,0
85737dd4,14:20:12,anything,30,no,,2245771,149264,4872,5494,35678,18686,23948,4247,0,0
85737dd4,14:20:13,anything,30,no,,57874,185457,63313,40765,20552,18426,13548,13726,0,0
85737dd4,14:20:14,anything,30,no,,247478,44653,26964,14596,15421,16482,6497,1437,0,0
85737dd4,14:20:15,anything,30,no,,876000,160198,40757,15899,41088,39528,9252,2651,0,0
85737dd4,14:20:16,anything,30,no,,2370343,255186,226458,35212,40506,51907,96798,34966,0,0
85737dd4,14:20:17,anything,30,no,,220739,45580,8163,23393,12032,12046,1587,2285,0,0
85737dd4,14:20:18,anything,30,no,,2012663,110242,10267,4906,16828,18299,6590,21818,0,0
85737dd4,14:20:19,anything,30,no,,2147952,67404,13600,8210,8796,4434,5211,2778,0,0
85737dd4,14:20:20,anything,30,no,,334960,206254,107985,123400,39566,23924,16082,24867,0,0
85737dd4,14:20:21,anything,30,no,,2055333,98419,37226,15451,18814,14066,12915,13562,0,0
85737dd4,14:20:22,anything,30,no,,93130,61380,10048,2953,6366,3429,3676,3824,0,0
85737dd4,14:20:23,anything,30,no,,99538,56016,23695,16520,9652,19260,13943,18025,0,0
85737dd4,14:20:24,anything,30,no,,6791,9016,15709,4232,9355,23543,11622,14417,0,0
85737dd4,14:20:25,anything,30,no,,437670,33054,8121,15171,14588,9918,9578,10645,0,0
85737dd4,14:20:26,anything,30,no,,148894,42832,10974,23945,4233,4265,5137,4896,0,0
85737dd4,14:20:27,anything,30,no,,680074,255676,21179,54500,22148,11676,8299,14184,0,0
85737dd4,14:20:28,anything,30,no,,1048156,164055,11487,19817,14696,19325,7466,14495,0,0
85737dd4,14:20:29,anything,30,no,,483548,45404,7993,49726,10120,15852,15593,17674,0,0
85737dd4,14:20:30,anything,30,no,,11191,22580,7529,8229,8419,21609,11224,12710,0,0
85737dd4,14:20:31,anything,30,no,,854249,21601,19853,9278,15503,8504,5309,2203,0,0
85737dd4,14:20:32,anything,30,no,,1570440,426639,12879,24588,15851,5987,4751,4109,0,0
85737dd4,14:20:33,anything,30,no,,1063558,50193,6876,3499,5030,3857,3906,2658,0,0
85737dd4,14:20:34,anything,30,no,,8970,3371,1362,5033,7325,13260,24684,18963,0,0
85737dd4,14:20:35,anything,30,no,,2678,5806,7103,22173,10504,11949,7127,11882,0,0
85737dd4,14:20:36,anything,30,no,,127815,57279,9039,8474,4432,14905,12235,9865,0,0
85737dd4,14:20:37,anything,30,no,,9055,14601,2176,7766,17207,10527,9770,12091,0,0
85737dd4,14:20:38,anything,30,no,,313511,115693,20344,48814,41441,26854,12876,23854,0,0
85737dd4,14:20:39,anything,30,no,,45135,62011,23121,10867,5616,8549,4525,23290,0,0
85737dd4,14:20:40,anything,30,no,,10382,9131,15078,9160,13644,13034,11777,13524,0,0
85737dd4,14:20:41,anything,30,no,,139763,24794,13284,8379,3967,11536,14288,10298,0,0
85737dd4,14:20:42,anything,30,no,,335168,227985,34021,13443,22202,16159,13417,16398,0,0
85737dd4,14:20:43,anything,30,no,,259884,37066,24376,3344,9264,15441,19440,18681,0,0
85737dd4,14:20:44,anything,30,no,,179356,18575,7641,691,4304,3225,4993,3209,0,0
85737dd4,14:20:45,anything,30,no,,1414768,71605,25776,14374,23909,29169,16597,10900,0,0
85737dd4,14:20:46,anything,30,no,,817422,113224,4830,22998,40844,15369,26658,5180,0,0
85737dd4,14:20:47,anything,30,no,,1451294,436836,72312,32048,38511,45251,12954,12338,0,0
85737dd4,14:20:48,anything,30,no,,140923,22079,1248,3516,1945,6305,7742,3906,0,0
85737dd4,14:20:49,anything,30,no,,613868,168301,57579,65759,73475,39057,20129,6083,0,0
85737dd4,14:20:50,anything,30,no,,444218,46969,20241,22467,19585,6457,4929,5065,0,0
85737dd4,14:20:51,anything,30,no,,370134,123826,23107,16302,13885,11447,16171,17651,0,0
85737dd4,14:20:52,anything,30,no,,1162115,64021,14132,26975,12572,15332,12653,9363,0,0
85737dd4,14:20:53,anything,30,no,,48144,29952,7355,15080,7117,8680,11071,20610,0,0
85737dd4,14:20:54,anything,30,no,,10340,29431,17430,12931,12690,15989,19351,16339,0,0
85737dd4,14:20:55,anything,30,no,,91607,13664,765,2946,2793,1361,2990,3985,0,0
85737dd4,14:20:56,anything,30,no,,40930,66128,16382,5509,5393,12215,12210,12140,0,0
85737dd4,14:20:57,anything,30,no,,125695,9653,2418,745,1661,4564,2079,2710,0,0
85737dd4,14:20:58,anything,30,no,,917232,147670,37473,13604,14274,28575,16480,18141,0,0
85737dd4,14:20:59,anything,30,no,,314683,51937,7545,15605,7385,5851,13793,9496,0,0
85737dd4,14:21:00,anything,30,no,,297832,28993,10508,9909,6551,17979,22838,16158,0,0
85737dd4,14:21:01,anything,30,no,,4911,5003,5151,16702,6762,17313,12147,11604,0,0
85737dd4,14:21:02,anything,30,no,,5797,10019,1872,5784,5366,14001,12293,19036,0,0
85737dd4,14:21:03,anything,30,no,,278555,5431,1644,3681,2184,7080,4331,2898,0,0
85737dd4,14:21:04,anything,30,no,,615,9135,7447,4008,7569,20942,22653,17695,0,0
85737dd4,14:21:05,anything,30,no,,53686,33096,8787,14307,2086,11281,13131,14207,0,0
85737dd4,14:21:06,anything,30,no,,878392,59882,14856,13788,12606,21342,13480,1904,0,0
85737dd4,14:21:07,anything,30,no,,687191,362801,77520,71713,58120,47795,19298,43001,0,0
85737dd4,14:21:08,anything,30,no,,741934,250806,80895,149280,307137,432386,340011,211766,0,0
