session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
1e047abd,15:20:58,exercise,10,no,,213397,163971,45155,25121,37900,83236,43015,14814,63,69
1e047abd,15:20:59,exercise,10,no,,665175,203110,83026,14665,61695,36673,33815,7678,61,57
1e047abd,15:21:00,exercise,10,no,,776366,39546,34103,17324,23179,24508,14060,4167,70,54
1e047abd,15:21:01,exercise,10,no,,169848,50967,17440,7165,17661,10293,7661,3711,67,54
1e047abd,15:21:02,exercise,10,no,,1865085,83593,1566,44297,59943,31209,15958,9092,64,54
1e047abd,15:21:03,exercise,10,no,,188523,25939,5198,3685,2746,3870,1960,1275,64,54
1e047abd,15:21:04,exercise,10,no,,74043,24531,13043,10674,5289,4435,1246,524,56,54
1e047abd,15:21:05,exercise,10,no,,162387,79659,26407,51241,30822,21351,11911,7227,56,60
1e047abd,15:21:06,exercise,10,no,,458982,77008,124545,19412,17377,14013,17611,21568,43,75
1e047abd,15:21:07,exercise,10,no,,140864,108087,56822,18007,19978,11490,8425,6368,37,81
1e047abd,15:21:08,exercise,10,no,,1741362,186612,62675,36079,89337,32176,16059,3705,38,74
1e047abd,15:21:09,exercise,10,no,,155239,64419,9604,7703,8836,4278,2138,1501,30,64
1e047abd,15:21:10,exercise,10,no,,869620,33688,11516,9814,10733,4742,1280,347,35,53
1e047abd,15:21:11,exercise,10,no,,360243,64773,7468,10164,10724,4574,6053,1980,34,44
1e047abd,15:21:12,exercise,10,no,,960614,209725,14739,91364,167954,104588,27460,17964,41,40
1e047abd,15:21:13,exercise,10,no,,635727,316353,43051,36509,48278,48660,67875,29015,48,38
1e047abd,15:21:14,exercise,10,no,,234340,96513,54447,33109,77076,23749,19493,4011,51,38
1e047abd,15:21:15,exercise,10,no,,1036111,51889,60612,34345,25242,24480,21970,5623,61,51
1e047abd,15:21:16,exercise,10,no,,867944,160882,19521,15456,15470,6253,2803,5025,41,51
1e047abd,15:21:17,exercise,10,no,,184252,5450,4675,2812,2289,1378,629,208,40,66
1e047abd,15:21:18,exercise,10,no,,212269,17010,1949,2685,2139,1485,1175,430,35,60
1e047abd,15:21:19,exercise,10,no,,879781,15777,19167,68053,14064,12568,9598,3814,34,66
1e047abd,15:21:20,exercise,10,no,,184490,65581,17785,16974,10130,29225,5321,10482,53,74
1e047abd,15:21:21,exercise,10,no,,553531,70973,40971,8117,30030,19634,8414,4461,56,66
1e047abd,15:21:22,exercise,10,no,,66589,66405,15988,19318,10797,9253,12441,8501,60,70
1e047abd,15:21:23,exercise,10,no,,81413,16677,2420,6313,9707,3604,789,540,61,53
1e047abd,15:21:24,exercise,10,no,,127289,18496,15947,9143,3395,4554,3506,673,51,63
1e047abd,15:21:25,exercise,10,no,,25569,53360,16467,9160,21790,13085,16098,9217,51,60
1e047abd,15:21:26,exercise,10,no,,685805,42231,8569,10537,11924,5413,12525,5941,51,57
1e047abd,15:21:27,exercise,10,no,,8954,17663,1846,9092,11048,10618,13402,4809,60,56
1e047abd,15:21:28,exercise,10,no,,157535,89309,38660,12767,23489,16060,6962,4039,60,48
1e047abd,15:21:29,exercise,10,no,,55360,69463,4824,18234,4895,25671,8541,4946,64,44
1e047abd,15:21:30,exercise,10,no,,99830,18628,4392,8247,7107,26074,9517,3558,84,41
1e047abd,15:21:31,exercise,10,no,,892092,44463,28261,13517,20233,29028,14989,5117,84,48
1e047abd,15:21:32,exercise,10,no,,18513,41227,20556,9687,21789,16621,19610,1789,91,48
1e047abd,15:21:33,exercise,10,no,,98185,350373,30405,49122,36924,18089,13527,4281,75,47
1e047abd,15:21:34,exercise,10,no,,727643,111362,22573,19479,12416,17318,8083,6291,56,48
1e047abd,15:21:35,exercise,10,no,,143182,13685,10074,29204,43858,16376,12194,2880,56,48
1e047abd,15:21:36,exercise,10,no,,750036,912142,110530,223585,216319,134376,35856,11093,48,44
1e047abd,15:21:37,exercise,10,no,,28047,23908,6702,8605,7068,7951,3750,758,64,51
1e047abd,15:21:38,exercise,10,no,,1344509,76532,16960,40490,51036,46927,25323,17172,74,53
1e047abd,15:21:39,exercise,10,no,,183609,51850,9788,6698,12100,5919,2655,1146,61,47
1e047abd,15:21:40,exercise,10,no,,71196,103558,15212,19317,32144,19359,4856,4940,61,44
1e047abd,15:21:41,exercise,10,no,,362425,455493,131003,94618,224348,225246,67406,30463,66,40
1e047abd,15:21:42,exercise,10,no,,804634,237329,6930,21835,10372,22094,7054,6183,53,27
1e047abd,15:21:43,exercise,10,no,,440722,109542,3290,24236,6861,14597,7262,2169,54,26
1e047abd,15:21:44,exercise,10,no,,1452939,113805,44688,43121,30234,33542,16763,7892,57,35
1e047abd,15:21:45,exercise,10,no,,743905,328202,99114,45450,54264,34380,42772,4904,43,38
1e047abd,15:21:46,exercise,10,no,,539069,2432,898,4586,4297,1918,1319,930,54,54
1e047abd,15:21:47,exercise,10,no,,1374250,489651,119437,118446,254052,204800,42923,12720,63,56
1e047abd,15:21:48,exercise,10,no,,1366405,187759,25155,61072,82099,66240,28146,12218,66,50
1e047abd,15:21:49,exercise,10,no,,738179,73547,10389,15385,8249,8158,5818,7962,66,48
1e047abd,15:21:50,exercise,10,no,,2287546,93028,23653,49800,38848,13794,10668,9201,57,47
1e047abd,15:21:51,exercise,10,no,,423520,365029,83969,62655,62533,56498,11635,4687,48,48
1e047abd,15:21:52,exercise,10,no,,662019,15102,12418,5177,4744,2731,1872,703,48,48
1e047abd,15:21:53,exercise,10,no,,629130,82725,53788,24710,9709,17859,6765,2902,41,57
1e047abd,15:21:54,exercise,10,no,,131895,12247,1832,2287,1308,1704,482,476,44,57
1e047abd,15:21:55,exercise,10,no,,1098256,185872,150643,61593,35438,28410,26388,10992,43,63
