session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
89ed4c45,16:04:35,reading_articles_without_music,3,no,,102689,679278,23275,113343,82887,26434,28044,8477,0,0
89ed4c45,16:04:36,reading_articles_without_music,3,no,,215183,521887,45527,200982,41443,31866,16945,19545,0,0
89ed4c45,16:04:37,reading_articles_without_music,3,no,,107391,457170,25166,238813,18318,51180,25563,18498,0,0
89ed4c45,16:04:38,reading_articles_without_music,3,no,,127733,602912,94826,189346,90105,56187,36248,38793,0,0
89ed4c45,16:04:39,reading_articles_without_music,3,no,,153717,243219,37518,217844,86734,57102,38304,15516,0,0
89ed4c45,16:04:40,reading_articles_without_music,3,no,,55879,61928,49929,55719,17470,7516,7230,5348,0,0
89ed4c45,16:04:41,reading_articles_without_music,3,no,,911986,42860,26982,10945,7435,7990,9577,4157,0,0
89ed4c45,16:04:42,reading_articles_without_music,3,no,,548798,88097,36873,82762,20087,45344,8176,9233,0,0
89ed4c45,16:04:43,reading_articles_without_music,3,no,,1161485,1212507,677062,293155,323520,162975,147122,212703,0,0
89ed4c45,16:04:44,reading_articles_without_music,3,no,,205956,224445,110480,82894,72291,58679,44401,57215,0,0
89ed4c45,16:04:45,reading_articles_without_music,3,no,,1125681,1105854,368001,469263,160689,116430,220011,49569,0,0
89ed4c45,16:04:46,reading_articles_without_music,3,no,,168822,85231,10974,9256,6610,1851,644,4605,0,0
89ed4c45,16:04:47,reading_articles_without_music,3,no,,574763,1161446,93338,353243,289008,321220,44880,27241,0,0
89ed4c45,16:04:48,reading_articles_without_music,3,no,,576742,34824,104244,46691,16525,28117,36158,25863,0,0
89ed4c45,16:04:49,reading_articles_without_music,3,no,,1830932,447735,242076,188265,86325,64394,38840,15944,0,0
89ed4c45,16:04:50,reading_articles_without_music,3,no,,1249895,260876,124869,71669,43910,49392,20151,24643,0,0
89ed4c45,16:04:51,reading_articles_without_music,3,no,,607267,77800,24836,35784,42403,21962,17672,20105,0,0
89ed4c45,16:04:52,reading_articles_without_music,3,no,,555190,379754,92482,186418,159478,65852,57617,69376,0,0
89ed4c45,16:04:53,reading_articles_without_music,3,no,,1455696,427664,287934,82102,185828,118637,131203,283817,0,0
89ed4c45,16:04:54,reading_articles_without_music,3,no,,300191,270829,50720,55374,23107,10678,5617,4019,0,0
89ed4c45,16:04:55,reading_articles_without_music,3,no,,1,0,0,0,0,0,0,0,0,0
89ed4c45,16:04:56,reading_articles_without_music,3,no,,582718,752426,517101,277026,178742,102932,102209,86723,0,0
89ed4c45,16:04:57,reading_articles_without_music,3,no,,1353877,446314,202347,511507,126773,263268,53796,94336,0,0
89ed4c45,16:04:58,reading_articles_without_music,3,no,,1691560,1455350,70312,216949,495865,372638,556186,226394,0,0
89ed4c45,16:04:59,reading_articles_without_music,3,no,,59094,457054,142601,82387,173990,25866,41139,52334,0,0
89ed4c45,16:05:00,reading_articles_without_music,3,no,,850097,29366,23598,13127,20465,79389,61194,31056,0,0
89ed4c45,16:05:01,reading_articles_without_music,3,no,,581794,52129,62032,51144,29872,24041,26092,22850,0,0
89ed4c45,16:05:02,reading_articles_without_music,3,no,,187585,93760,68224,26423,3801,2866,810,9989,0,0
89ed4c45,16:05:03,reading_articles_without_music,3,no,,965545,8578,18788,4233,3871,1690,611,1113,0,0
89ed4c45,16:05:04,reading_articles_without_music,3,no,,213749,795025,91347,41100,127438,26828,10100,16673,0,0
89ed4c45,16:05:05,reading_articles_without_music,3,no,,268977,1378783,118989,1460225,15265,56862,38941,60492,0,0
89ed4c45,16:05:06,reading_articles_without_music,3,no,,373768,367613,203028,199917,35994,45856,21671,17745,0,0
89ed4c45,16:05:07,reading_articles_without_music,3,no,,1036875,511465,530197,471080,77200,49334,16218,50845,0,0
89ed4c45,16:05:08,reading_articles_without_music,3,no,,614499,930979,160935,640122,65198,30076,37645,51364,0,0
89ed4c45,16:05:09,reading_articles_without_music,3,no,,472856,467996,42116,271849,182412,38984,10651,35997,0,0
89ed4c45,16:05:10,reading_articles_without_music,3,no,,997404,783786,386351,201813,142097,82492,11241,37960,0,0
89ed4c45,16:05:11,reading_articles_without_music,3,no,,878548,566509,430881,182366,134280,64061,10057,19875,0,0
89ed4c45,16:05:12,reading_articles_without_music,3,no,,204824,942222,279817,223391,173855,42691,4707,25586,0,0
89ed4c45,16:05:13,reading_articles_without_music,3,no,,578353,397431,329197,104989,88497,30467,3193,11303,0,0
89ed4c45,16:05:14,reading_articles_without_music,3,no,,24983,87399,24445,28660,9530,2935,701,2588,0,0
89ed4c45,16:05:15,reading_articles_without_music,3,no,,295581,60937,51418,12213,43810,5696,1292,2039,0,0
89ed4c45,16:05:16,reading_articles_without_music,3,no,,1451308,161446,21085,95270,70161,19150,7600,9842,0,0
89ed4c45,16:05:17,reading_articles_without_music,3,no,,907737,213698,129596,62641,170879,181997,58651,42069,0,0
89ed4c45,16:05:18,reading_articles_without_music,3,no,,186435,75655,37576,81136,54712,14053,13580,15409,0,0
89ed4c45,16:05:19,reading_articles_without_music,3,no,,532301,195191,37737,63682,224593,62510,25303,51620,0,0
89ed4c45,16:05:20,reading_articles_without_music,3,no,,1095395,1395876,340567,353044,116713,82180,30105,36589,0,0
89ed4c45,16:05:21,reading_articles_without_music,3,no,,1016906,253917,245267,332613,77441,52498,41119,23096,0,0
89ed4c45,16:05:22,reading_articles_without_music,3,no,,697694,161832,33615,54137,114480,70807,13097,14636,0,0
89ed4c45,16:05:23,reading_articles_without_music,3,no,,2209812,327018,161746,150917,166666,138384,47825,30930,0,0
89ed4c45,16:05:24,reading_articles_without_music,3,no,,615500,27973,7164,6877,25839,18930,9734,4630,0,0
89ed4c45,16:05:25,reading_articles_without_music,3,no,,1248541,654713,418529,306404,321852,179437,179870,162009,0,0
89ed4c45,16:05:26,reading_articles_without_music,3,no,,625343,42605,21503,15711,29136,30425,11273,13790,0,0
89ed4c45,16:05:27,reading_articles_without_music,3,no,,517886,167446,52331,115553,63870,29128,32828,18252,0,0
89ed4c45,16:05:28,reading_articles_without_music,3,no,,1044910,1063931,314919,434756,112783,73938,18225,63972,0,0
89ed4c45,16:05:29,reading_articles_without_music,3,no,,136305,554555,119216,83307,45175,82495,32442,20722,0,0
89ed4c45,16:05:30,reading_articles_without_music,3,no,,244493,455572,63092,121061,31809,83428,80470,70516,0,0
89ed4c45,16:05:31,reading_articles_without_music,3,no,,480685,742141,104382,133636,52019,133021,27419,63329,0,0
89ed4c45,16:05:32,reading_articles_without_music,3,no,,654516,536877,149202,95753,92754,63296,37201,45732,0,0
89ed4c45,16:05:33,reading_articles_without_music,3,no,,313134,186523,132264,133936,83213,107300,89520,28753,0,0
89ed4c45,16:05:34,reading_articles_without_music,3,no,,177021,1234984,148081,76482,79654,54138,99308,99186,0,0
89ed4c45,16:05:35,reading_articles_without_music,3,no,,91819,38082,16528,5506,6916,18099,15156,11506,0,0
89ed4c45,16:05:36,reading_articles_without_music,3,no,,887237,151289,186474,81925,128394,60636,19576,17725,0,0
89ed4c45,16:05:37,reading_articles_without_music,3,no,,1086683,725789,383933,239384,297955,129000,74711,90188,0,0
89ed4c45,16:05:38,reading_articles_without_music,3,no,,298966,25871,24327,16783,33675,13225,4959,2722,0,0
89ed4c45,16:05:39,reading_articles_without_music,3,no,,665188,415754,104086,187194,36982,78929,123832,39174,0,0
89ed4c45,16:05:40,reading_articles_without_music,3,no,,598421,222418,199086,185830,163036,101702,94664,170429,0,0
89ed4c45,16:05:41,reading_articles_without_music,3,no,,706816,623841,25429,138827,144303,139912,67703,158485,0,0
89ed4c45,16:05:42,reading_articles_without_music,3,no,,1283082,136959,129252,83215,165864,57178,45751,31896,0,0
89ed4c45,16:05:43,reading_articles_without_music,3,no,,267406,15730,25125,8836,16424,8490,3864,2600,0,0
89ed4c45,16:05:44,reading_articles_without_music,3,no,,465046,43817,91337,52960,111786,215619,88669,128959,0,0
89ed4c45,16:05:45,reading_articles_without_music,3,no,,360176,513149,388699,168399,143140,102310,150896,168185,0,0
89ed4c45,16:05:46,reading_articles_without_music,3,no,,1054614,361890,78868,62986,89159,151142,125657,68819,0,0
89ed4c45,16:05:47,reading_articles_without_music,3,no,,605445,392561,103015,551398,269312,135194,344704,86370,0,0
89ed4c45,16:05:48,reading_articles_without_music,3,no,,338658,78893,48533,72091,49633,79154,89813,53781,0,0
89ed4c45,16:05:49,reading_articles_without_music,3,no,,506904,304281,155716,96326,108436,204504,57109,77386,0,0
89ed4c45,16:05:50,reading_articles_without_music,3,no,,612931,680066,465731,223509,1083043,484784,357250,466057,0,0
89ed4c45,16:05:51,reading_articles_without_music,3,no,,68065,7308,8198,2583,8220,8512,1979,1868,0,0
89ed4c45,16:05:52,reading_articles_without_music,3,no,,313135,143380,89184,28166,115062,68934,29086,22307,0,0
89ed4c45,16:05:53,reading_articles_without_music,3,no,,1657747,832221,115347,139358,67754,126846,53861,47689,0,0
89ed4c45,16:05:54,reading_articles_without_music,3,no,,832706,387608,42500,46040,9343,26702,9650,6078,0,0
89ed4c45,16:05:55,reading_articles_without_music,3,no,,980920,389301,36286,46515,44641,147758,140971,68042,0,0
89ed4c45,16:05:56,reading_articles_without_music,3,no,,1155363,45152,16613,15954,10124,5478,4695,2554,0,0
89ed4c45,16:05:57,reading_articles_without_music,3,no,,1850819,787408,78319,11895,64072,62367,79915,59278,0,0
89ed4c45,16:05:58,reading_articles_without_music,3,no,,2448181,1105858,213052,199165,176461,64532,81918,42738,0,0
89ed4c45,16:05:59,reading_articles_without_music,3,no,,542974,200784,64142,117542,102451,92539,29244,43359,0,0
89ed4c45,16:06:00,reading_articles_without_music,3,no,,1334103,503454,213154,66230,129037,330720,518003,146223,0,0
89ed4c45,16:06:01,reading_articles_without_music,3,no,,543163,221507,154842,112202,191373,170974,230457,124954,0,0
89ed4c45,16:06:02,reading_articles_without_music,3,no,,249104,666995,123153,50121,74528,58500,71766,30716,0,0
89ed4c45,16:06:03,reading_articles_without_music,3,no,,1274942,235673,114457,58493,77621,27701,24699,27315,0,0
89ed4c45,16:06:04,reading_articles_without_music,3,no,,308193,85455,9270,16649,141332,94133,49289,35035,0,0
89ed4c45,16:06:05,reading_articles_without_music,3,no,,474486,88490,18291,13503,8637,12144,12093,13458,0,0
89ed4c45,16:06:06,reading_articles_without_music,3,no,,1044047,613677,596034,133624,362600,930390,363863,83692,0,0
89ed4c45,16:06:07,reading_articles_without_music,3,no,,1786234,1452409,1587726,1374364,571149,536739,304496,191478,0,0
89ed4c45,16:06:08,reading_articles_without_music,3,no,,987941,364047,796875,281854,595062,188750,289145,225015,0,0
89ed4c45,16:06:09,reading_articles_without_music,3,no,,1775655,246298,31713,81311,83863,36064,40795,77986,0,0
89ed4c45,16:06:10,reading_articles_without_music,3,no,,1120749,37654,15751,25345,43981,44737,12851,626,0,0
89ed4c45,16:06:11,reading_articles_without_music,3,no,,201661,669291,489146,279546,607712,182685,38923,100002,0,0
89ed4c45,16:06:12,reading_articles_without_music,3,no,,1519567,523622,261108,242699,471193,542454,391533,207951,0,0
89ed4c45,16:06:13,reading_articles_without_music,3,no,,1208345,197772,48862,91359,121928,39012,72792,75108,0,0
89ed4c45,16:06:14,reading_articles_without_music,3,no,,285875,721701,60593,40198,67637,67342,162681,121617,0,0
89ed4c45,16:06:15,reading_articles_without_music,3,no,,610002,1461097,881890,1217262,339127,262237,104604,283323,0,0
89ed4c45,16:06:16,reading_articles_without_music,3,no,,251361,740622,258772,388885,63175,81862,49088,29773,0,0
89ed4c45,16:06:17,reading_articles_without_music,3,no,,355640,300536,94585,135801,96449,201735,57676,37025,0,0
89ed4c45,16:06:18,reading_articles_without_music,3,no,,1214369,483580,208447,167628,95464,174450,106325,100863,0,0
89ed4c45,16:06:19,reading_articles_without_music,3,no,,883117,230318,220186,369561,159169,138273,112557,68935,0,0
89ed4c45,16:06:20,reading_articles_without_music,3,no,,553437,505055,553346,282042,91000,127804,22770,95524,0,0
89ed4c45,16:06:21,reading_articles_without_music,3,no,,1068615,177859,273429,97792,37889,23723,76681,78197,0,0
89ed4c45,16:06:22,reading_articles_without_music,3,no,,1511892,518659,800017,263130,247004,134732,141229,260839,0,0
89ed4c45,16:06:23,reading_articles_without_music,3,no,,198857,967891,234051,263291,103860,87169,140783,18982,0,0
89ed4c45,16:06:24,reading_articles_without_music,3,no,,378259,338788,78946,171932,137984,172184,73762,57541,0,0
89ed4c45,16:06:25,reading_articles_without_music,3,no,,228772,541677,161636,276802,105727,144949,84778,67314,0,0
89ed4c45,16:06:26,reading_articles_without_music,3,no,,785471,358947,79215,93401,132905,63786,109789,111631,0,0
89ed4c45,16:06:27,reading_articles_without_music,3,no,,359115,151811,58513,305689,172945,91103,91087,118216,0,0
89ed4c45,16:06:28,reading_articles_without_music,3,no,,287245,315391,220018,116233,106968,52924,240124,67549,0,0
89ed4c45,16:06:29,reading_articles_without_music,3,no,,397015,731800,627407,110186,149894,61416,88556,31980,0,0
89ed4c45,16:06:30,reading_articles_without_music,3,no,,656949,244624,153779,58674,92462,94202,106518,148963,0,0
89ed4c45,16:06:31,reading_articles_without_music,3,no,,1361671,240122,267355,113892,153373,107571,137118,52230,0,0
89ed4c45,16:06:32,reading_articles_without_music,3,no,,861472,1125757,157876,184272,148437,115405,133022,50485,0,0
89ed4c45,16:06:33,reading_articles_without_music,3,no,,1264720,2174319,261379,814064,671242,536360,190585,134715,0,0
89ed4c45,16:06:34,reading_articles_without_music,3,no,,348667,548688,167420,88117,94065,148760,216686,99982,0,0
89ed4c45,16:06:35,reading_articles_without_music,3,no,,328477,182028,203845,101824,175339,135416,74694,102288,0,0
89ed4c45,16:06:36,reading_articles_without_music,3,no,,82018,397664,276785,264090,113278,62157,60921,113570,0,0
89ed4c45,16:06:37,reading_articles_without_music,3,no,,722538,124422,111353,84361,71827,90869,75492,69564,0,0
89ed4c45,16:06:38,reading_articles_without_music,3,no,,477140,617470,197424,72144,123262,196725,77701,34100,0,0
89ed4c45,16:06:39,reading_articles_without_music,3,no,,405324,273043,217339,363060,176825,186148,43521,37703,0,0
89ed4c45,16:06:40,reading_articles_without_music,3,no,,672012,362890,186928,91697,232982,133425,89340,111381,0,0
89ed4c45,16:06:41,reading_articles_without_music,3,no,,250784,947896,113903,50821,212655,34632,84706,50082,0,0
89ed4c45,16:06:42,reading_articles_without_music,3,no,,260161,176761,367321,291090,30243,167202,76152,89339,0,0
