session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
05ef36e1,16:22:50,stretch,10,no,,29366,11888,15025,12774,12200,6209,22033,5546,43,66
05ef36e1,16:22:51,stretch,10,no,,21879,35404,12191,10374,11569,9252,10045,2270,54,61
05ef36e1,16:22:52,stretch,10,no,,38770,17062,614,12767,20461,15793,6137,5913,93,70
05ef36e1,16:22:53,stretch,10,no,,292415,66444,25466,16891,25107,22185,5278,4159,91,51
05ef36e1,16:22:54,stretch,10,no,,171116,84281,2396,5859,12019,11399,3385,3038,87,20
05ef36e1,16:22:55,stretch,10,no,,72617,37723,2604,8010,13281,11347,23891,3006,90,8
05ef36e1,16:22:56,stretch,10,no,,255606,49054,12856,3605,4172,6361,3950,1105,67,11
05ef36e1,16:22:57,stretch,10,no,,728403,791305,228860,14181,26568,31106,9055,2501,44,10
05ef36e1,16:22:58,stretch,10,no,,2416438,124616,10360,12983,17860,11610,7716,2655,38,16
05ef36e1,16:22:59,stretch,10,no,,2029765,470978,20156,88885,15759,31180,11341,15994,20,20
05ef36e1,16:23:00,stretch,10,no,,657691,113206,40890,29726,21925,14043,2808,1994,16,26
05ef36e1,16:23:01,stretch,10,no,,460371,50955,13818,4225,4212,3115,375,382,21,26
05ef36e1,16:23:02,stretch,10,no,,28141,23298,14339,6078,8752,6148,5087,4014,29,43
05ef36e1,16:23:03,stretch,10,no,,1283936,83274,16232,10213,18954,5635,6932,2438,27,43
05ef36e1,16:23:04,stretch,10,no,,35925,41831,27807,3275,1819,14710,1984,2065,41,47
05ef36e1,16:23:05,stretch,10,no,,109417,131269,25918,11148,13264,7720,4833,2281,43,44
05ef36e1,16:23:06,stretch,10,no,,107699,41550,6384,10317,10483,9854,4793,2940,44,37
05ef36e1,16:23:07,stretch,10,no,,744145,29178,32115,27430,22745,20564,1448,2621,64,53
05ef36e1,16:23:08,stretch,10,no,,679159,402575,20297,7036,8173,10663,3201,875,37,27
