session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
462cd6d6,13:28:56,tsdg,2,no,,190810,118037,9492,23432,21289,11188,10326,4135,0,0
462cd6d6,13:28:57,tsdg,2,no,,181314,38399,23714,3573,2050,3240,3225,1812,0,0
462cd6d6,13:28:58,tsdg,2,no,,195371,31630,12534,6386,4643,6331,4584,2435,0,0
462cd6d6,13:28:59,tsdg,2,no,,176859,42723,3768,10410,1701,2741,2296,2633,0,0
462cd6d6,13:29:00,tsdg,2,no,,144840,35522,8327,4143,4116,7224,1741,3528,0,0
462cd6d6,13:29:01,tsdg,2,no,,169540,52347,5320,4177,4672,5532,1276,6851,0,0
462cd6d6,13:29:02,tsdg,2,no,,113746,13525,9527,4722,2970,3334,1773,4225,0,0
462cd6d6,13:29:03,tsdg,2,no,,104249,30924,25569,9436,2575,5828,1403,8038,0,0
462cd6d6,13:29:04,tsdg,2,no,,59259,11092,1427,2029,959,1218,499,555,0,0
462cd6d6,13:29:05,tsdg,2,no,,238567,43160,1713,3265,2100,9718,1642,6138,0,0
462cd6d6,13:29:06,tsdg,2,no,,114818,8337,2414,1754,2847,626,687,714,0,0
462cd6d6,13:29:07,tsdg,2,no,,270436,46932,2849,1214,2712,3435,3457,4663,0,0
462cd6d6,13:29:08,tsdg,2,no,,456111,30730,12100,11544,4554,3832,3503,1827,0,0
462cd6d6,13:29:09,tsdg,2,no,,189008,2448,849,1341,1049,1068,295,397,0,0
462cd6d6,13:29:10,tsdg,2,no,,687165,97016,37994,19367,2876,4256,5615,4550,0,0
462cd6d6,13:29:11,tsdg,2,no,,655650,105811,1400,23291,16496,12756,2447,4379,0,0
