session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
2dca8e01,13:50:47,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,19633,5932,5856,5641,14102,4100,3182,21283,57,56
2dca8e01,13:50:48,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,743776,53710,658,3011,6635,3870,782,2140,61,41
2dca8e01,13:50:49,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,6322,18375,9521,8265,3720,4992,1916,19420,74,47
2dca8e01,13:50:50,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,3845,4053,1994,2005,3245,3874,5117,18375,84,56
2dca8e01,13:50:51,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,590937,108820,20538,5572,6192,2782,2320,12102,63,50
2dca8e01,13:50:52,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,28876,40718,57414,7661,10813,12757,8144,13051,67,74
2dca8e01,13:50:53,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,527452,325712,2622,8846,7246,3306,2822,13450,44,48
2dca8e01,13:50:54,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,769680,533692,74560,4819,13390,5748,6042,20432,13,40
2dca8e01,13:50:55,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,932997,145782,20595,9217,21798,13835,2822,16036,24,38
2dca8e01,13:50:56,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,168714,18074,16495,783,2579,794,518,1338,11,37
2dca8e01,13:50:57,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1051545,183678,2975,22252,3262,11622,1251,1043,26,47
2dca8e01,13:50:58,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,49629,7981,3232,1232,477,445,138,133,37,57
2dca8e01,13:50:59,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1515832,161808,36041,50748,10389,6442,1972,11600,26,66
2dca8e01,13:51:00,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,449466,147383,314625,35934,44098,103634,21725,7531,26,66
2dca8e01,13:51:01,3_min_with_music,3,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,285030,36757,15721,4521,1839,1897,452,504,26,66
