session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
2c282c3f,14:09:59,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,412490,97079,54627,26375,5188,5983,1968,660,57,50
2c282c3f,14:10:00,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,518883,261489,24615,35411,10853,9005,2777,3353,57,50
2c282c3f,14:10:01,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,371360,449949,282058,14399,186923,15074,9916,5741,53,47
2c282c3f,14:10:02,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,58763,81916,13665,3817,4542,3991,1712,438,53,47
2c282c3f,14:10:03,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,197521,48379,64721,112563,114731,21011,7005,9719,53,47
2c282c3f,14:10:04,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,757036,291510,13553,9691,12442,23344,17780,13280,53,47
2c282c3f,14:10:05,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,274447,387258,129081,35673,25834,88153,18007,9232,53,47
2c282c3f,14:10:06,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,484946,1578078,290565,296782,169442,68642,14246,28222,53,47
2c282c3f,14:10:07,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,315010,2129956,48655,597541,275566,256196,85163,104801,53,47
2c282c3f,14:10:08,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,182226,519336,36741,190912,24357,29481,8717,9648,53,47
2c282c3f,14:10:09,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1396713,947154,198546,287334,82992,128569,12992,12515,53,47
2c282c3f,14:10:10,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,93674,1059202,54725,27755,11954,50744,7641,6224,53,47
2c282c3f,14:10:11,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,149301,263852,419225,545223,80837,99212,41637,60116,53,47
2c282c3f,14:10:12,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,2773505,827544,285176,215893,187191,138268,48148,28489,53,47
2c282c3f,14:10:13,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,197064,314255,1346718,161759,117503,81932,7970,25947,53,47
2c282c3f,14:10:14,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,263161,1306287,340618,137908,47581,42341,6003,12350,44,44
2c282c3f,14:10:15,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,728093,118268,62205,5246,10602,11248,6746,3322,44,44
2c282c3f,14:10:16,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,69139,7893,19600,13824,6981,2260,530,1623,44,44
2c282c3f,14:10:17,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,35217,6943,17304,1499,8500,1553,315,203,44,44
2c282c3f,14:10:18,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,397731,25789,32870,35518,13378,3926,1529,491,44,44
2c282c3f,14:10:19,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,59120,23111,3888,1304,552,1000,384,383,44,44
2c282c3f,14:10:20,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,160816,8303,22647,3037,963,2176,453,130,44,44
2c282c3f,14:10:21,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,83181,138335,15012,4616,4667,5658,816,913,44,44
2c282c3f,14:10:22,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,199334,43800,46919,11719,6465,10321,482,94,56,56
2c282c3f,14:10:23,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,294601,27404,21889,5126,1313,3009,1400,169,56,56
2c282c3f,14:10:24,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1198615,126683,124311,33817,5382,14729,3683,962,51,70
2c282c3f,14:10:25,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,777263,1102630,279753,155919,48452,74570,23586,3328,61,66
2c282c3f,14:10:26,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,577418,81267,37906,26858,7850,14434,2253,1492,78,75
2c282c3f,14:10:27,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1494521,711712,597392,31036,38674,22292,6049,4263,57,74
2c282c3f,14:10:28,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,651736,988282,249691,135354,38872,30178,9222,2003,48,57
2c282c3f,14:10:29,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1586669,617773,78714,104660,41103,38477,13520,2997,48,54
2c282c3f,14:10:30,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,49050,48373,9711,3294,2545,769,66,385,24,41
2c282c3f,14:10:31,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1058952,527672,181312,67873,33861,17066,5806,1723,29,35
2c282c3f,14:10:32,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,154132,114813,37288,15144,5981,4274,939,893,30,37
2c282c3f,14:10:33,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1394132,254016,46520,42605,14279,5395,2690,2779,20,38
2c282c3f,14:10:34,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,582203,331008,140494,28170,5253,7734,2227,2640,23,47
2c282c3f,14:10:35,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1574551,249382,21726,70415,28247,5690,2541,4121,17,41
2c282c3f,14:10:36,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1977244,250276,84574,26146,10298,6534,4456,4462,14,41
2c282c3f,14:10:37,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,481823,180509,67600,20453,3269,3201,1987,1461,10,48
2c282c3f,14:10:38,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,882488,261910,54696,16249,2312,4078,2082,933,8,38
2c282c3f,14:10:39,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,731149,190756,56868,4022,11369,4445,1161,1234,8,37
2c282c3f,14:10:40,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,980366,311862,24444,17604,5879,1458,749,1408,1,23
2c282c3f,14:10:41,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,305479,76991,10068,8394,4760,2406,1472,905,4,13
2c282c3f,14:10:42,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,316572,75912,20066,11764,2435,2635,814,591,13,20
2c282c3f,14:10:43,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,631817,386035,208189,7223,1434,8789,2056,2842,13,27
2c282c3f,14:10:44,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,398489,688746,58146,18828,9755,10562,3386,2365,24,26
2c282c3f,14:10:45,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,72149,26785,3583,2077,1253,335,162,157,14,24
2c282c3f,14:10:46,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,146333,79150,18814,8989,1558,898,552,368,4,23
2c282c3f,14:10:47,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,393518,63966,4882,8277,1411,1274,548,464,7,8
2c282c3f,14:10:48,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,201602,40100,4651,7518,483,874,376,552,8,20
2c282c3f,14:10:49,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,798374,317930,29195,12166,3035,2495,1398,2256,4,13
2c282c3f,14:10:50,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,731427,36794,5032,3775,890,693,89,669,10,8
