session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
9cfd4d20,13:47:04,Oshika,5,yes,sthg,75113,11454,1494,1768,1579,963,266,331,67,21
9cfd4d20,13:47:05,Oshika,5,yes,sthg,590440,140538,6541,7315,11195,6032,6805,3717,53,11
9cfd4d20,13:47:06,Oshika,5,yes,sthg,107643,10296,11620,7011,3012,2472,1296,1613,41,26
9cfd4d20,13:47:07,Oshika,5,yes,sthg,190618,20811,4860,12601,3148,4819,488,1566,60,38
9cfd4d20,13:47:08,Oshika,5,yes,sthg,1102794,98037,1998,5385,4641,3295,1357,641,60,38
9cfd4d20,13:47:09,Oshika,5,yes,sthg,1289706,211759,18816,9173,159938,45349,16443,10905,70,24
9cfd4d20,13:47:10,Oshika,5,yes,sthg,251203,11241,238,1797,1184,1644,538,134,88,34
9cfd4d20,13:47:11,Oshika,5,yes,sthg,601677,17803,4463,4308,2179,2793,727,575,91,21
9cfd4d20,13:47:12,Oshika,5,yes,sthg,23974,69134,9660,14129,11762,5696,6292,4365,81,13
9cfd4d20,13:47:13,Oshika,5,yes,sthg,41587,18766,7879,3798,14626,11690,3967,5573,88,27
9cfd4d20,13:47:14,Oshika,5,yes,sthg,1472628,711161,23966,284500,49729,49610,14373,6333,75,40
9cfd4d20,13:47:15,Oshika,5,yes,sthg,538959,185110,56120,30910,27945,32872,4856,1330,77,38
9cfd4d20,13:47:16,Oshika,5,yes,sthg,389096,58914,19409,4561,4591,3581,951,495,77,38
9cfd4d20,13:47:17,Oshika,5,yes,sthg,1456723,15089,14638,9037,9457,9252,2105,1311,77,38
9cfd4d20,13:47:18,Oshika,5,yes,sthg,463123,32362,7997,5704,5342,2187,1016,325,77,38
9cfd4d20,13:47:19,Oshika,5,yes,sthg,540885,52558,9146,14435,30285,6988,1322,1573,80,38
9cfd4d20,13:47:20,Oshika,5,yes,sthg,787579,164805,7767,18029,3984,10224,2784,852,80,38
9cfd4d20,13:47:21,Oshika,5,yes,sthg,1812242,152785,96614,25711,48458,38694,24581,7782,80,38
9cfd4d20,13:47:22,Oshika,5,yes,sthg,1404944,139070,19695,19272,10871,20594,7023,2037,80,38
9cfd4d20,13:47:23,Oshika,5,yes,sthg,187138,15864,11087,6745,3779,2945,1039,708,61,51
9cfd4d20,13:47:24,Oshika,5,yes,sthg,1634890,29020,16227,12459,10798,11645,1086,1082,61,51
9cfd4d20,13:47:25,Oshika,5,yes,sthg,233576,54824,3883,3493,6679,750,526,176,43,37
9cfd4d20,13:47:26,Oshika,5,yes,sthg,1215989,160291,29981,45063,25296,20775,8981,2687,43,37
9cfd4d20,13:47:27,Oshika,5,yes,sthg,664028,290847,52859,3134,20794,10320,4899,1355,26,29
9cfd4d20,13:47:28,Oshika,5,yes,sthg,212952,18427,7450,2941,6229,1392,1073,1026,17,35
9cfd4d20,13:47:29,Oshika,5,yes,sthg,1645238,92545,15514,22906,10602,8904,1691,866,17,35
9cfd4d20,13:47:30,Oshika,5,yes,sthg,1422947,51761,47471,19449,28870,35984,7843,1680,35,30
9cfd4d20,13:47:31,Oshika,5,yes,sthg,910442,215708,23304,20009,16295,8956,2076,989,48,37
9cfd4d20,13:47:32,Oshika,5,yes,sthg,370408,118277,25326,8648,14267,6243,3306,1231,51,40
9cfd4d20,13:47:33,Oshika,5,yes,sthg,902692,49257,5130,12032,2775,2300,1496,607,47,37
9cfd4d20,13:47:34,Oshika,5,yes,sthg,715415,73096,11424,14460,12881,5516,6245,3240,26,27
9cfd4d20,13:47:35,Oshika,5,yes,sthg,1270657,53460,11043,3764,6948,3727,2680,731,30,30
9cfd4d20,13:47:36,Oshika,5,yes,sthg,1444343,175032,130020,62588,11541,7768,3171,3831,24,48
9cfd4d20,13:47:37,Oshika,5,yes,sthg,235367,445242,48944,15432,8266,5537,11848,3326,11,38
9cfd4d20,13:47:38,Oshika,5,yes,sthg,755035,55889,24822,20878,4533,10002,2673,901,17,48
9cfd4d20,13:47:39,Oshika,5,yes,sthg,125545,6097,128,1019,1132,643,256,53,24,41
9cfd4d20,13:47:40,Oshika,5,yes,sthg,1010626,157444,10357,26846,25418,12339,7352,4264,38,23
9cfd4d20,13:47:41,Oshika,5,yes,sthg,2051989,53462,9524,8293,11794,19470,2455,1906,75,27
9cfd4d20,13:47:42,Oshika,5,yes,sthg,370179,6269,6581,15320,11853,4688,1088,359,75,27
9cfd4d20,13:47:43,Oshika,5,yes,sthg,1689904,89709,56366,48261,31429,30201,3393,2606,75,27
9cfd4d20,13:47:44,Oshika,5,yes,sthg,2088348,33803,11269,9141,7954,6490,2478,704,75,27
9cfd4d20,13:47:45,Oshika,5,yes,sthg,2,1,1,0,1,1,0,0,75,27
9cfd4d20,13:47:46,Oshika,5,yes,sthg,22899,16962,6935,2996,448,745,622,574,75,27
9cfd4d20,13:47:47,Oshika,5,yes,sthg,927479,585399,94115,179935,156304,42776,31467,63323,75,27
9cfd4d20,13:47:48,Oshika,5,yes,sthg,163890,12711,2750,3528,616,336,239,298,54,23
9cfd4d20,13:47:49,Oshika,5,yes,sthg,1211209,184369,16497,87701,18230,8838,2348,6661,43,40
9cfd4d20,13:47:50,Oshika,5,yes,sthg,656516,107229,14307,42579,9561,12937,2805,12000,44,48
9cfd4d20,13:47:51,Oshika,5,yes,sthg,1499543,108524,14252,14766,20287,10226,2264,2057,27,48
9cfd4d20,13:47:52,Oshika,5,yes,sthg,269241,110974,31137,26727,6989,2614,1099,696,27,48
9cfd4d20,13:47:53,Oshika,5,yes,sthg,1391790,36601,18913,12864,2879,3860,1577,549,41,53
9cfd4d20,13:47:54,Oshika,5,yes,sthg,1425970,60049,12644,24163,7715,5448,1058,934,41,53
9cfd4d20,13:47:55,Oshika,5,yes,sthg,1486804,58606,14207,19273,18734,4820,2762,3047,48,51
9cfd4d20,13:47:56,Oshika,5,yes,sthg,207641,30889,7741,3436,2902,1568,798,1075,40,48
9cfd4d20,13:47:57,Oshika,5,yes,sthg,881556,164233,32976,13754,34919,30260,8844,5676,50,47
9cfd4d20,13:47:58,Oshika,5,yes,sthg,490195,98553,57335,36287,14621,11458,10065,5752,50,44
9cfd4d20,13:47:59,Oshika,5,yes,sthg,468014,11909,14531,5620,4707,3403,1159,1408,57,56
9cfd4d20,13:48:00,Oshika,5,yes,sthg,219507,61366,6760,5388,6907,3901,1846,596,63,48
9cfd4d20,13:48:01,Oshika,5,yes,sthg,77565,146132,20400,73123,24389,23159,13026,6874,57,60
